yearID,LAD,NYM
1884,40,
1885,53,
1886,76,
1887,60,
1888,88,
1889,93,
1890,86,
1891,61,
1892,95,
1893,65,
1894,70,
1895,71,
1896,58,
1897,61,
1898,54,
1899,101,
1900,82,
1901,79,
1902,75,
1903,70,
1904,56,
1905,48,
1906,66,
1907,65,
1908,53,
1909,55,
1910,64,
1911,64,
1912,58,
1913,65,
1914,75,
1915,80,
1916,94,
1917,70,
1918,57,
1919,69,
1920,93,
1921,77,
1922,76,
1923,76,
1924,92,
1925,68,
1926,71,
1927,65,
1928,77,
1929,70,
1930,86,
1931,79,
1932,81,
1933,65,
1934,71,
1935,70,
1936,67,
1937,62,
1938,69,
1939,84,
1940,88,
1941,100,
1942,104,
1943,81,
1944,63,
1945,87,
1946,96,
1947,94,
1948,84,
1949,97,
1950,89,
1951,97,
1952,96,
1953,105,
1954,92,
1955,98,
1956,93,
1957,84,
1958,71,
1959,88,
1960,82,
1961,89,
1962,102,40
1963,99,51
1964,80,53
1965,97,50
1966,95,66
1967,73,61
1968,76,73
1969,85,100
1970,87,83
1971,89,83
1972,85,83
1973,95,82
1974,102,71
1975,88,82
1976,92,86
1977,98,64
1978,95,66
1979,79,63
1980,92,67
1981,63,41
1982,88,65
1983,91,68
1984,79,90
1985,95,98
1986,73,108
1987,73,92
1988,94,100
1989,77,87
1990,86,91
1991,93,77
1992,63,72
1993,81,59
1994,58,55
1995,78,69
1996,90,71
1997,88,88
1998,83,88
1999,77,97
2000,86,94
2001,86,82
2002,92,75
2003,85,66
2004,93,71
2005,71,83
2006,88,97
2007,82,88
2008,84,89
2009,95,70
2010,80,79
2011,82,77
2012,86,74
2013,92,74
2014,94,79
2015,92,90
2016,91,87
2017,104,70
2018,92,77
2019,106,86
